Attaching to broker
[36mbroker      |[0m ===> User
[36mbroker      |[0m [2025-04-03 19:06:21,650] INFO [RaftManager id=1] Starting voters are VoterSet(voters={1=VoterNode(voterKey=ReplicaKey(id=1, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=localhost/127.0.0.1:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0])}) (org.apache.kafka.raft.KafkaRaftClient)
[36mbroker      |[0m [2025-04-03 19:06:21,653] INFO [RaftManager id=1] Starting request manager with static voters: [localhost:9093 (id: 1 rack: null isFenced: false)] (org.apache.kafka.raft.KafkaRaftClient)
[36mbroker      |[0m [2025-04-03 19:06:21,658] INFO [RaftManager id=1] Attempting durable transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1], electionTimeoutMs=1732, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
[36mbroker      |[0m [2025-04-03 19:06:21,676] INFO [RaftManager id=1] Completed transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1], electionTimeoutMs=1732, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
[36mbroker      |[0m [2025-04-03 19:06:21,679] INFO [RaftManager id=1] Completed transition to ProspectiveState(epoch=0, leaderId=OptionalInt.empty, retries=1, votedKey=Optional.empty, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), electionTimeoutMs=1992, highWatermark=Optional.empty) from UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1], electionTimeoutMs=1732, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
[36mbroker      |[0m [2025-04-03 19:06:21,682] INFO [RaftManager id=1] Attempting durable transition to CandidateState(localId=1, localDirectoryId=8LNgR10jmGPi6JBkzAE7-g, epoch=1, retries=1, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), highWatermark=Optional.empty, electionTimeoutMs=1880) from ProspectiveState(epoch=0, leaderId=OptionalInt.empty, retries=1, votedKey=Optional.empty, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), electionTimeoutMs=1992, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
[36mbroker      |[0m [2025-04-03 19:06:21,692] INFO [RaftManager id=1] Completed transition to CandidateState(localId=1, localDirectoryId=8LNgR10jmGPi6JBkzAE7-g, epoch=1, retries=1, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), highWatermark=Optional.empty, electionTimeoutMs=1880) from ProspectiveState(epoch=0, leaderId=OptionalInt.empty, retries=1, votedKey=Optional.empty, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), electionTimeoutMs=1992, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
[36mbroker      |[0m [2025-04-03 19:06:21,696] INFO [RaftManager id=1] Attempting durable transition to Leader(localReplicaKey=ReplicaKey(id=1, directoryId=8LNgR10jmGPi6JBkzAE7-g), epoch=1, epochStartOffset=0, highWatermark=Optional.empty, voterStates={1=ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, localDirectoryId=8LNgR10jmGPi6JBkzAE7-g, epoch=1, retries=1, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), highWatermark=Optional.empty, electionTimeoutMs=1880) (org.apache.kafka.raft.QuorumState)
[36mbroker      |[0m [2025-04-03 19:06:21,704] INFO [RaftManager id=1] Completed transition to Leader(localReplicaKey=ReplicaKey(id=1, directoryId=8LNgR10jmGPi6JBkzAE7-g), epoch=1, epochStartOffset=0, highWatermark=Optional.empty, voterStates={1=ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, localDirectoryId=8LNgR10jmGPi6JBkzAE7-g, epoch=1, retries=1, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), highWatermark=Optional.empty, electionTimeoutMs=1880) (org.apache.kafka.raft.QuorumState)
[36mbroker      |[0m [2025-04-03 19:06:21,734] INFO [kafka-1-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
[36mbroker      |[0m [2025-04-03 19:06:21,735] INFO [kafka-1-raft-io-thread]: Starting (org.apache.kafka.raft.KafkaRaftClientDriver)
[36mbroker      |[0m [2025-04-03 19:06:21,754] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,755] INFO [ControllerServer id=1] Waiting for controller quorum voters future (kafka.server.ControllerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,756] INFO [ControllerServer id=1] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,775] INFO [RaftManager id=1] High watermark set to LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)]) for the first time for epoch 1 based on indexOfHw 0 and voters [ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), endOffset=Optional[LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)])], lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)] (org.apache.kafka.raft.LeaderState)
[36mbroker      |[0m [2025-04-03 19:06:21,783] INFO [controller-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,784] INFO [controller-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,786] INFO [controller-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,787] INFO [controller-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,793] INFO [RaftManager id=1] Registered the listener org.apache.kafka.image.loader.MetadataLoader@1467647143 (org.apache.kafka.raft.KafkaRaftClient)
[36mbroker      |[0m [2025-04-03 19:06:21,793] INFO [RaftManager id=1] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@524674387 (org.apache.kafka.raft.KafkaRaftClient)
[36mbroker      |[0m [2025-04-03 19:06:21,795] INFO [RaftManager id=1] Setting the next offset of org.apache.kafka.image.loader.MetadataLoader@1467647143 to 0 since there are no snapshots (org.apache.kafka.raft.KafkaRaftClient)
[36mbroker      |[0m [2025-04-03 19:06:21,797] INFO [RaftManager id=1] Setting the next offset of org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@524674387 to 0 since there are no snapshots (org.apache.kafka.raft.KafkaRaftClient)
[36mbroker      |[0m [2025-04-03 19:06:21,797] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,798] INFO [MetadataLoader id=1] maybePublishMetadata(LOG_DELTA): The loader is still catching up because we have not loaded a controller record as of offset 0 and high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,819] INFO [ControllerServer id=1] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,819] INFO [MetadataLoader id=1] initializeNewPublishers: The loader is still catching up because we have not loaded a controller record as of offset 0 and high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,820] INFO [ControllerServer id=1] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,820] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Enabling request processing. (kafka.network.SocketServer)
[36mbroker      |[0m [2025-04-03 19:06:21,825] INFO Awaiting socket connections on localhost:9093. (kafka.network.DataPlaneAcceptor)
[36mbroker      |[0m [2025-04-03 19:06:21,860] INFO [MetadataLoader id=1] maybePublishMetadata(LOG_DELTA): The loader finished catching up to the current high water mark of 6 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,863] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing SnapshotGenerator with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,863] INFO [controller-1-to-controller-registration-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:21,863] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing KRaftMetadataCachePublisher with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,864] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing FeaturesPublisher with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,864] INFO [ControllerServer id=1] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,865] INFO [ControllerServer id=1] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,865] INFO [ControllerRegistrationManager id=1 incarnation=X8z6_8XuSMykyd4uOVtFYQ] initialized channel manager. (kafka.server.ControllerRegistrationManager)
[36mbroker      |[0m [2025-04-03 19:06:21,865] INFO [ControllerServer id=1] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,865] INFO [controller-1-to-controller-registration-channel-manager]: Recorded new KRaft controller, from now on will use node localhost:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:21,865] INFO [ControllerServer id=1] Finished waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,866] INFO [ControllerRegistrationManager id=1 incarnation=X8z6_8XuSMykyd4uOVtFYQ] maybeSendControllerRegistration: cannot register yet because the metadata.version is not known yet. (kafka.server.ControllerRegistrationManager)
[36mbroker      |[0m [2025-04-03 19:06:21,868] INFO [BrokerServer id=1] Transition from SHUTDOWN to STARTING (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,868] INFO [ControllerServer id=1] Loaded new metadata Features(metadataVersion=4.0-IV3, finalizedFeatures={group.version=1, transaction.version=2, metadata.version=25}, finalizedFeaturesEpoch=5). (org.apache.kafka.metadata.publisher.FeaturesPublisher)
[36mbroker      |[0m [2025-04-03 19:06:21,868] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerRegistrationsPublisher with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,869] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerRegistrationManager with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,869] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicConfigPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,869] INFO [BrokerServer id=1] Starting broker (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,872] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicClientQuotaPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,874] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicTopicClusterQuotaPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,875] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ScramPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,877] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DelegationTokenPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,880] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerMetadataMetricsPublisher with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,881] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing AclPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:21,881] INFO [broker-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,882] INFO [broker-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,883] INFO [broker-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,884] INFO [broker-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[36mbroker      |[0m [2025-04-03 19:06:21,896] INFO [ControllerRegistrationManager id=1 incarnation=X8z6_8XuSMykyd4uOVtFYQ] sendControllerRegistration: attempting to send ControllerRegistrationRequestData(controllerId=1, incarnationId=X8z6_8XuSMykyd4uOVtFYQ, zkMigrationReady=false, listeners=[Listener(name='CONTROLLER', host='localhost', port=9093, securityProtocol=0)], features=[Feature(name='group.version', minSupportedVersion=0, maxSupportedVersion=1), Feature(name='transaction.version', minSupportedVersion=0, maxSupportedVersion=2), Feature(name='eligible.leader.replicas.version', minSupportedVersion=0, maxSupportedVersion=1), Feature(name='kraft.version', minSupportedVersion=0, maxSupportedVersion=1), Feature(name='metadata.version', minSupportedVersion=7, maxSupportedVersion=25)]) (kafka.server.ControllerRegistrationManager)
[36mbroker      |[0m [2025-04-03 19:06:21,905] INFO [BrokerServer id=1] Waiting for controller quorum voters future (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,906] INFO [BrokerServer id=1] Finished waiting for controller quorum voters future (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:21,909] INFO [broker-1-to-controller-forwarding-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:21,911] INFO [broker-1-to-controller-forwarding-channel-manager]: Recorded new KRaft controller, from now on will use node localhost:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:21,918] INFO [client-metrics-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
[36mbroker      |[0m [2025-04-03 19:06:21,962] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
[36mbroker      |[0m [2025-04-03 19:06:21,973] INFO [SocketServer listenerType=BROKER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(PLAINTEXT) (kafka.network.SocketServer)
[36mbroker      |[0m [2025-04-03 19:06:21,980] INFO [broker-1-to-controller-alter-partition-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:21,981] INFO [broker-1-to-controller-alter-partition-channel-manager]: Recorded new KRaft controller, from now on will use node localhost:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:21,985] INFO [ControllerRegistrationManager id=1 incarnation=X8z6_8XuSMykyd4uOVtFYQ] Our registration has been persisted to the metadata log. (kafka.server.ControllerRegistrationManager)
[36mbroker      |[0m [2025-04-03 19:06:21,989] INFO [ControllerRegistrationManager id=1 incarnation=X8z6_8XuSMykyd4uOVtFYQ] RegistrationResponseHandler: controller acknowledged ControllerRegistrationRequest. (kafka.server.ControllerRegistrationManager)
[36mbroker      |[0m [2025-04-03 19:06:21,994] INFO [broker-1-to-controller-directory-assignments-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:21,995] INFO [broker-1-to-controller-directory-assignments-channel-manager]: Recorded new KRaft controller, from now on will use node localhost:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:22,000] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
[36mbroker      |[0m [2025-04-03 19:06:22,002] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
[36mbroker      |[0m [2025-04-03 19:06:22,004] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
[36mbroker      |[0m [2025-04-03 19:06:22,006] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
[36mbroker      |[0m [2025-04-03 19:06:22,008] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
[36mbroker      |[0m [2025-04-03 19:06:22,011] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
[36mbroker      |[0m [2025-04-03 19:06:22,041] INFO [BrokerServer id=1] Using no op persister (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:22,043] INFO [group-coordinator-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
[36mbroker      |[0m [2025-04-03 19:06:22,064] INFO [group-coordinator-event-processor-0]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
[36mbroker      |[0m [2025-04-03 19:06:22,064] INFO [group-coordinator-event-processor-1]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
[36mbroker      |[0m [2025-04-03 19:06:22,064] INFO [group-coordinator-event-processor-2]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
[36mbroker      |[0m [2025-04-03 19:06:22,065] INFO [group-coordinator-event-processor-3]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
[36mbroker      |[0m [2025-04-03 19:06:22,086] INFO Unable to read the broker epoch in /tmp/kafka-logs. (kafka.log.LogManager)
[36mbroker      |[0m [2025-04-03 19:06:22,087] INFO [broker-1-to-controller-heartbeat-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:22,089] INFO [broker-1-to-controller-heartbeat-channel-manager]: Recorded new KRaft controller, from now on will use node localhost:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
[36mbroker      |[0m [2025-04-03 19:06:22,092] INFO [BrokerLifecycleManager id=1] Incarnation YEKshGEuTZyI8MKHhIiwMw of broker 1 in cluster 5L6g3nShT-eMCtK--X86sw is now STARTING. (kafka.server.BrokerLifecycleManager)
[36mbroker      |[0m [2025-04-03 19:06:22,095] INFO [share-group-lock-timeout-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
[36mbroker      |[0m [2025-04-03 19:06:22,099] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
[36mbroker      |[0m [2025-04-03 19:06:22,121] INFO [BrokerServer id=1] Waiting for the broker metadata publishers to be installed (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:22,121] INFO [BrokerServer id=1] Finished waiting for the broker metadata publishers to be installed (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:22,122] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing MetadataVersionPublisher(id=1) with a snapshot at offset 6 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:22,122] INFO [BrokerServer id=1] Waiting for the controller to acknowledge that we are caught up (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:22,123] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing BrokerMetadataPublisher with a snapshot at offset 6 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:22,125] INFO [BrokerMetadataPublisher id=1] Publishing initial metadata at offset OffsetAndEpoch(offset=6, epoch=1) with metadata.version Optional[4.0-IV3]. (kafka.server.metadata.BrokerMetadataPublisher)
[36mbroker      |[0m [2025-04-03 19:06:22,128] INFO Loading logs from log dirs ArrayBuffer(/tmp/kafka-logs) (kafka.log.LogManager)
[36mbroker      |[0m [2025-04-03 19:06:22,134] INFO No logs found to be loaded in /tmp/kafka-logs (kafka.log.LogManager)
[36mbroker      |[0m [2025-04-03 19:06:22,142] INFO [BrokerLifecycleManager id=1] Successfully registered broker 1 with broker epoch 7 (kafka.server.BrokerLifecycleManager)
[36mbroker      |[0m [2025-04-03 19:06:22,162] INFO Loaded 0 logs in 26ms (kafka.log.LogManager)
[36mbroker      |[0m [2025-04-03 19:06:22,166] INFO Starting log cleanup with a period of 300000 ms. (kafka.log.LogManager)
[36mbroker      |[0m [2025-04-03 19:06:22,168] INFO Starting log flusher with a default period of 9223372036854775807 ms. (kafka.log.LogManager)
[36mbroker      |[0m [2025-04-03 19:06:22,234] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner$CleanerThread)
[36mbroker      |[0m [2025-04-03 19:06:22,240] INFO [LogDirFailureHandler]: Starting (kafka.server.ReplicaManager$LogDirFailureHandler)
[36mbroker      |[0m [2025-04-03 19:06:22,241] INFO [AddPartitionsToTxnSenderThread-1]: Starting (kafka.server.AddPartitionsToTxnManager)
[36mbroker      |[0m [2025-04-03 19:06:22,242] INFO [GroupCoordinator id=1] Starting up. (org.apache.kafka.coordinator.group.GroupCoordinatorService)
[36mbroker      |[0m [2025-04-03 19:06:22,245] INFO [GroupCoordinator id=1] Startup complete. (org.apache.kafka.coordinator.group.GroupCoordinatorService)
[36mbroker      |[0m [2025-04-03 19:06:22,246] INFO [TransactionCoordinator id=1] Starting up. (kafka.coordinator.transaction.TransactionCoordinator)
[36mbroker      |[0m [2025-04-03 19:06:22,248] INFO [TxnMarkerSenderThread-1]: Starting (kafka.coordinator.transaction.TransactionMarkerChannelManager)
[36mbroker      |[0m [2025-04-03 19:06:22,249] INFO [TransactionCoordinator id=1] Startup complete. (kafka.coordinator.transaction.TransactionCoordinator)
[36mbroker      |[0m [2025-04-03 19:06:22,255] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing BrokerRegistrationTracker(id=1) with a snapshot at offset 6 (org.apache.kafka.image.loader.MetadataLoader)
[36mbroker      |[0m [2025-04-03 19:06:22,268] INFO [BrokerLifecycleManager id=1] The broker has caught up. Transitioning from STARTING to RECOVERY. (kafka.server.BrokerLifecycleManager)
[36mbroker      |[0m [2025-04-03 19:06:22,268] INFO [BrokerServer id=1] Finished waiting for the controller to acknowledge that we are caught up (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:22,269] INFO [BrokerServer id=1] Waiting for the initial broker metadata update to be published (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:22,269] INFO [BrokerServer id=1] Finished waiting for the initial broker metadata update to be published (kafka.server.BrokerServer)
[36mbroker      |[0m [2025-04-03 19:06:22,270] INFO KafkaConfig values: 
[36mbroker      |[0m 	add.partitions.to.txn.retry.backoff.max.ms = 100
[36mbroker      |[0m 	add.partitions.to.txn.retry.backoff.ms = 20
[36mbroker      |[0m 	advertised.listeners = PLAINTEXT://localhost:9092
[36mbroker      |[0m 	alter.config.policy.class.name = null
